image_id,chest,arm,side,zone,overlap,position,size,seed,orig_w,orig_h,crop_x0,crop_y0,crop_side,scale,lung_pct,lung_x0,lung_y0,lung_x1,lung_y1,cx,cy,mask_x0,mask_y0,mask_x1,mask_y1,mask_px_requested,mask_px_achieved,edit_inside,local_std,edit_norm,cnr,structure_density,density_spread,det_edited,det_background,gain,n_boxes,coord_space,prompt,skip_ratio,guidance,steps,radedit_twin,patch_src,patch_idx,patch_side_px,scale_factor,paste_shift,lesion_contrast,dest_core_std
c0001_left_upper_clear_small__cp,c0001,copypaste,left,upper,clear,lateral,small,1482319280,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.332,0.2538,0.2861,0.2079,0.3779,0.2997,47,47.0,,25.96,,,0.5489,0.4014,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_left_upper_clear_small,n0958,1,73,0.644,0.0296,0.1313,0.0932
c0001_left_upper_moderate_small__cp,c0001,copypaste,left,upper,moderate,lateral,small,2127157884,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.2982,0.2538,0.2523,0.2079,0.3441,0.2997,47,47.0,,37.98,,,0.6861,0.4014,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_left_upper_moderate_small,n0709,0,165,0.285,-0.1106,0.0745,0.0835
c0001_left_upper_on_structure_small__cp,c0001,copypaste,left,upper,on_structure,medial,small,446347639,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.4167,0.2538,0.3708,0.2079,0.4625,0.2997,47,47.0,,57.43,,,0.8371,0.4014,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_left_upper_on_structure_small,n0570,1,62,0.758,0.1506,0.0932,0.0963
c0001_left_upper_clear_medium__cp,c0001,copypaste,left,upper,clear,medial,medium,436009334,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.3534,0.2538,0.2948,0.1952,0.412,0.3124,60,60.0,,28.48,,,0.6054,0.277,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_left_upper_clear_medium,n0291,0,147,0.408,-0.2203,0.0525,0.1079
c0001_left_upper_moderate_medium__cp,c0001,copypaste,left,upper,moderate,medial,medium,488669596,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.3819,0.2538,0.3233,0.1952,0.4405,0.3124,60,60.0,,42.19,,,0.6612,0.277,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_left_upper_moderate_medium,n0335,0,124,0.484,0.1465,0.0697,0.1042
c0001_left_upper_on_structure_medium__cp,c0001,copypaste,left,upper,on_structure,lateral,medium,133405226,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.275,0.2538,0.2164,0.1952,0.3336,0.3124,60,60.0,,53.32,,,0.7956,0.277,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_left_upper_on_structure_medium,n0043,0,79,0.759,0.0159,0.0395,0.0895
c0001_left_upper_clear_large__cp,c0001,copypaste,left,upper,clear,medial,large,1389952965,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.3662,0.2538,0.2939,0.1816,0.4385,0.3261,74,74.0,,46.5,,,0.6378,0.1915,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_left_upper_clear_large,n0081,0,95,0.779,0.0433,0.0263,0.1058
c0001_left_upper_moderate_large__cp,c0001,copypaste,left,upper,moderate,medial,large,1805675991,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.3776,0.2538,0.3053,0.1816,0.4498,0.3261,74,74.0,,49.25,,,0.6632,0.1915,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_left_upper_moderate_large,n0021,0,90,0.822,-0.3881,0.0502,0.1093
c0001_left_upper_on_structure_large__cp,c0001,copypaste,left,upper,on_structure,lateral,large,382120619,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.2865,0.2538,0.2142,0.1816,0.3588,0.3261,74,74.0,,53.51,,,0.7664,0.1915,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_left_upper_on_structure_large,n0182,0,130,0.569,-0.4402,0.0142,0.1059
c0001_left_mid_clear_small__cp,c0001,copypaste,left,mid,clear,medial,small,1841332454,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.349,0.4004,0.3031,0.3545,0.3949,0.4463,47,47.0,,32.73,,,0.6077,0.5254,,0.0,,,fraction_of_image,copy-paste,0.3,7.5,200,c0001_left_mid_clear_small,n0922,0,151,0.311,-0.0027,0.0445,0.0793
