synth_image_id,source_image,size,location,contrast,anatomy_overlap,gt_x,gt_y,gt_width,gt_height,qc_pass
synth_0003,c0457.mha,small,upper_right,low,none,689,250,18,18,
synth_0005,c0471.mha,small,upper_right,high,none,691,252,18,18,
synth_0006,c0635.mha,small,mid_left,low,none,294,502,18,18,
synth_0008,c0682.mha,small,mid_left,high,none,291,504,18,18,
synth_0014,c1075.mha,small,lower_left,high,none,333,749,18,18,
synth_0015,c1277.mha,small,lower_right,low,none,682,754,18,18,
synth_0021,c1650.mha,medium,upper_right,low,none,686,242,32,32,
synth_0023,c1691.mha,medium,upper_right,high,none,680,251,32,32,
synth_0028,c2393.mha,medium,mid_right,medium,none,697,496,32,32,
synth_0030,c2568.mha,medium,lower_left,low,none,318,752,32,32,
synth_0036,c2943.mha,large,upper_left,low,none,317,221,52,52,
synth_0055,c0471.mha,small,upper_left,low,clavicle,321,212,18,18,
synth_0056,c0635.mha,small,upper_left,medium,spine,488,254,18,18,
synth_0058,c0682.mha,small,upper_left,high,clavicle,324,213,18,18,
synth_0064,c1075.mha,small,upper_right,high,spine,508,255,18,18,
synth_0065,c1277.mha,small,upper_right,high,clavicle,695,216,18,18,
synth_0073,c1691.mha,small,mid_right,low,heart,745,525,18,18,
synth_0078,c2393.mha,small,lower_left,low,heart,294,767,18,18,
synth_0080,c2568.mha,small,lower_left,medium,heart,292,770,18,18,
synth_0086,c2943.mha,small,lower_right,medium,diaphragm,681,797,18,18,
synth_0092,c3264.mha,medium,upper_left,medium,clavicle,316,213,32,32,
synth_0093,c3283.mha,medium,upper_left,medium,spine,511,252,32,32,
synth_0097,c3476.mha,medium,upper_right,low,clavicle,681,211,32,32,
synth_0108,c0682.mha,medium,mid_right,low,heart,742,512,32,32,
synth_0114,c1075.mha,medium,lower_left,low,diaphragm,322,781,32,32,
synth_0115,c1277.mha,medium,lower_left,low,heart,288,765,32,32,
synth_0116,c1295.mha,medium,lower_left,medium,heart,285,756,32,32,
synth_0121,c1650.mha,medium,lower_right,low,heart,703,772,32,32,
synth_0123,c1691.mha,medium,lower_right,medium,heart,716,772,32,32,
synth_0128,c2393.mha,large,upper_left,medium,spine,483,243,52,52,
synth_0136,c2943.mha,large,upper_right,high,clavicle,671,203,52,52,
synth_0137,c2953.mha,large,upper_right,high,spine,506,221,52,52,
synth_0153,c0457.mha,large,lower_left,medium,diaphragm,318,777,52,52,
synth_0156,c0635.mha,large,lower_right,low,diaphragm,657,771,52,52,
synth_0158,c0682.mha,large,lower_right,medium,diaphragm,666,786,52,52,
synth_0164,c1075.mha,small,upper_right,low,spine,506,247,18,18,
synth_0165,c1277.mha,small,upper_right,medium,clavicle,687,215,18,18,
synth_0166,c1295.mha,small,mid_left,low,spine,510,503,18,18,
synth_0173,c1691.mha,small,lower_right,medium,heart,713,775,18,18,
synth_0178,c2393.mha,small,mid_left,low,heart,257,520,18,18,
