image_id,chest,arm,side,zone,overlap,position,size,seed,orig_w,orig_h,crop_x0,crop_y0,crop_side,scale,lung_pct,lung_x0,lung_y0,lung_x1,lung_y1,cx,cy,mask_x0,mask_y0,mask_x1,mask_y1,mask_px_requested,mask_px_achieved,edit_inside,local_std,edit_norm,cnr,structure_density,density_spread,det_edited,det_background,gain,n_boxes,coord_space,prompt,skip_ratio,guidance,steps
c0001_left_upper_clear_small,c0001,lesion,left,upper,clear,lateral,small,1482319280,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.332,0.2538,0.2861,0.2079,0.3779,0.2997,47,47.0,10.94,25.96,0.4215,0.1386,0.5489,0.4014,0.0,0.0,0.0,0,fraction_of_image,Right upper lobe pulmonary nodule,0.3,7.5,200
c0001_left_upper_moderate_small,c0001,lesion,left,upper,moderate,lateral,small,2127157884,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.2982,0.2538,0.2523,0.2079,0.3441,0.2997,47,47.0,14.5,37.98,0.3816,0.3257,0.6861,0.4014,0.0,0.0,0.0,1,fraction_of_image,Right upper lobe pulmonary nodule,0.3,7.5,200
c0001_left_upper_on_structure_small,c0001,lesion,left,upper,on_structure,medial,small,446347639,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.4167,0.2538,0.3708,0.2079,0.4625,0.2997,47,47.0,8.7,57.43,0.1515,0.0432,0.8371,0.4014,0.0,0.0,0.0,0,fraction_of_image,Right upper lobe pulmonary nodule,0.3,7.5,200
c0001_left_upper_clear_medium,c0001,lesion,left,upper,clear,medial,medium,436009334,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.3534,0.2538,0.2948,0.1952,0.412,0.3124,60,60.0,13.44,28.48,0.4719,0.2548,0.6054,0.277,0.0,0.0,0.0,1,fraction_of_image,Right upper lobe pulmonary nodule,0.3,7.5,200
c0001_left_upper_moderate_medium,c0001,lesion,left,upper,moderate,medial,medium,488669596,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.3819,0.2538,0.3233,0.1952,0.4405,0.3124,60,60.0,9.25,42.19,0.2193,0.1028,0.6612,0.277,0.0,0.0,0.0,0,fraction_of_image,Right upper lobe pulmonary nodule,0.3,7.5,200
c0001_left_upper_on_structure_medium,c0001,lesion,left,upper,on_structure,lateral,medium,133405226,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.275,0.2538,0.2164,0.1952,0.3336,0.3124,60,60.0,11.37,53.32,0.2132,-0.0059,0.7956,0.277,0.4609,0.0,0.4609,1,fraction_of_image,Right upper lobe pulmonary nodule,0.3,7.5,200
c0001_left_upper_clear_large,c0001,lesion,left,upper,clear,medial,large,1389952965,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.3662,0.2538,0.2939,0.1816,0.4385,0.3261,74,74.0,14.9,46.5,0.3203,0.209,0.6378,0.1915,0.0,0.0,0.0,0,fraction_of_image,Right upper lobe pulmonary nodule,0.3,7.5,200
c0001_left_upper_clear_large__null,c0001,null_edit,left,upper,clear,medial,large,1389952965,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.3662,0.2538,0.2939,0.1816,0.4385,0.3261,74,74.0,8.98,46.5,0.1931,0.1222,0.6378,0.1915,0.0,0.0,0.0,0,fraction_of_image,"Normal right lung parenchyma, no focal abnormality",0.3,7.5,200
c0001_left_upper_moderate_large,c0001,lesion,left,upper,moderate,medial,large,1805675991,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.3776,0.2538,0.3053,0.1816,0.4498,0.3261,74,74.0,13.77,49.25,0.2796,0.1722,0.6632,0.1915,0.0,0.0,0.0,1,fraction_of_image,Right upper lobe pulmonary nodule,0.3,7.5,200
c0001_left_upper_on_structure_large,c0001,lesion,left,upper,on_structure,lateral,large,382120619,1024,1024,0,0,1024,0.5,40,0.1992,0.1387,0.4648,0.6621,0.2865,0.2538,0.2142,0.1816,0.3588,0.3261,74,74.0,17.65,53.51,0.3299,0.1805,0.7664,0.1915,0.4149,0.0,0.4149,1,fraction_of_image,Right upper lobe pulmonary nodule,0.3,7.5,200
