score_threshold,rule,n,hit_rate,mean_score
0.05,centre-in-box,419,0.9451,0.8092
0.05,IoU>0.1,419,0.9451,0.8102
0.05,IoU>0.2,419,0.9427,0.8081
0.05,IoU>0.3,419,0.9356,0.8027
0.05,IoU>0.5,419,0.8329,0.7249
0.05,centre<1.0r,419,0.9451,0.8092
0.05,centre<1.5r,419,0.9451,0.8102
0.05,centre<2.0r,419,0.9451,0.8103
0.1,centre-in-box,419,0.9284,0.8081
0.1,IoU>0.1,419,0.9284,0.809
0.1,IoU>0.2,419,0.926,0.807
0.1,IoU>0.3,419,0.9189,0.8016
0.1,IoU>0.5,419,0.8162,0.7236
0.1,centre<1.0r,419,0.9284,0.8081
0.1,centre<1.5r,419,0.9284,0.809
0.1,centre<2.0r,419,0.9308,0.8093
0.25,centre-in-box,419,0.895,0.8029
0.25,IoU>0.1,419,0.8974,0.8042
0.25,IoU>0.2,419,0.8926,0.8018
0.25,IoU>0.3,419,0.8854,0.7963
0.25,IoU>0.5,419,0.7924,0.7199
0.25,centre<1.0r,419,0.895,0.8029
0.25,centre<1.5r,419,0.8974,0.8042
0.25,centre<2.0r,419,0.8974,0.8042
0.5,centre-in-box,419,0.8473,0.784
0.5,IoU>0.1,419,0.8496,0.7853
0.5,IoU>0.2,419,0.8473,0.784
0.5,IoU>0.3,419,0.8425,0.7792
0.5,IoU>0.5,419,0.7566,0.7061
0.5,centre<1.0r,419,0.8473,0.784
0.5,centre<1.5r,419,0.8496,0.7853
0.5,centre<2.0r,419,0.8496,0.7853
