features,mode,auroc_mean,auroc_repeat_sd,ap_mean,ap_repeat_sd,brier_mean,repeats
biomedclip_full,stratified,0.8448397013614406,0.01329171896919343,0.25259849965293574,0.020972358635924483,0.08197408396150303,5
biomedclip_full,source_grouped,0.8166447079490557,0.021772265064642332,0.26166163279944216,0.031330652707361274,0.17599315403962137,5
biomedclip_crop,stratified,0.8012077294685991,0.02473302297754913,0.2410680148337497,0.052148189200901744,0.09011033272619069,5
biomedclip_crop,source_grouped,0.7500658761528327,0.031838671539416975,0.16895380430199292,0.0342457528477347,0.10706402479194876,5
requested_axes,stratified,0.5659530083443126,0.016414108365870924,0.07288256216200015,0.004508088298515635,0.2290304260962645,5
requested_axes,source_grouped,0.5610342555994731,0.019032027318611526,0.07163511407524811,0.008802820968001128,0.23081882777464163,5
edit_norm,stratified,0.7275801493192797,0.004901960954496789,0.14340354706179295,0.023273170846284563,0.21827557089390925,5
edit_norm,source_grouped,0.7265480895915679,0.00540452176123502,0.14663519818221776,0.015990738713575085,0.21702549758071302,5
cnr,stratified,0.7253403601229688,0.004297181337689088,0.1935531506737139,0.007958458540595986,0.21326589412663308,5
cnr,source_grouped,0.7219367588932806,0.006110918190119253,0.1879470744307001,0.007679799251809224,0.21191119122807342,5
edit_norm_plus_cnr,stratified,0.7152832674571805,0.008497030692129311,0.12972725634299592,0.016901467826943007,0.2151826194129655,5
edit_norm_plus_cnr,source_grouped,0.7245718050065876,0.006649032974871368,0.18520499965007478,0.019667683764501745,0.2137808171332049,5
